modelo,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,log_loss
Dummy mayoría,1,0.3154722036168788,0.25,0.0788680509042197,0.25,0.11990835030549898,24.67288262804938
Dummy mayoría,2,0.3154722036168788,0.25,0.0788680509042197,0.25,0.11990835030549898,24.67288262804938
Dummy mayoría,3,0.3154722036168788,0.25,0.0788680509042197,0.25,0.11990835030549898,24.67288262804938
Dummy mayoría,4,0.31538049303322613,0.25,0.07884512325830653,0.25,0.11988184966388267,24.67618821253867
Dummy mayoría,5,0.3155144694533762,0.25,0.07887861736334405,0.25,0.11992056217537428,24.67135921288846
Dummy mayoría,6,0.3154722036168788,0.25,0.0788680509042197,0.25,0.11990835030549898,24.672882628049372
Dummy mayoría,7,0.3154722036168788,0.25,0.0788680509042197,0.25,0.11990835030549898,24.67288262804938
Dummy mayoría,8,0.3154722036168788,0.25,0.0788680509042197,0.25,0.11990835030549898,24.67288262804938
Dummy mayoría,9,0.31538049303322613,0.25,0.07884512325830653,0.25,0.11988184966388267,24.67618821253867
Dummy mayoría,10,0.3155144694533762,0.25,0.07887861736334405,0.25,0.11992056217537428,24.671359212888465
Dummy estratificado,1,0.26269256530475554,0.2541944472565449,0.2542837045383407,0.2541944472565449,0.2541750143171917,26.575253617374518
Dummy estratificado,2,0.2632283991962492,0.25307540694750746,0.2526530789671427,0.25307540694750746,0.2528044248921528,26.555940206315373
Dummy estratificado,3,0.25371734762223713,0.24530478504476894,0.24499412866670017,0.24530478504476894,0.24509141675896726,26.898753252615087
Dummy estratificado,4,0.26942658092175775,0.26098560669725906,0.2610376125569882,0.26098560669725906,0.26094549458749516,26.332535092558388
Dummy estratificado,5,0.2721061093247588,0.26305417386080593,0.26316326282309765,0.26305417386080593,0.26304183345543514,26.23595509955432
Dummy estratificado,6,0.2572002679169457,0.24865443227931722,0.24876505765304266,0.24865443227931722,0.2486451097525825,26.773216080730684
Dummy estratificado,7,0.264166108506363,0.2555083785383262,0.2555484633187055,0.2555083785383262,0.25546369927582374,26.522141736961885
Dummy estratificado,8,0.2578700602813128,0.24844567459721184,0.2483979044408958,0.24844567459721184,0.24835939681368957,26.74907431690676
Dummy estratificado,9,0.25857449088960344,0.24965626681532344,0.24961531133338588,0.24965626681532344,0.24957293676669273,26.72368406422485
Dummy estratificado,10,0.254957127545552,0.24695576773671693,0.24694798621156883,0.24695576773671693,0.2468903285413957,26.854067054780337
Regresión logística,1,0.2491627595445412,0.25240279800068577,0.25228308400991584,0.25240279800068577,0.24834243331070538,1.3872318509882644
Regresión logística,2,0.24983255190890824,0.2490449682657651,0.24978741354393674,0.2490449682657651,0.24722254416538392,1.3867792874065477
Regresión logística,3,0.243536503683858,0.2502139731116762,0.25382382020172706,0.2502139731116762,0.2427676439732616,1.3876347994359932
Regresión logística,4,0.2447749196141479,0.24735882511591445,0.24733817206787287,0.24735882511591445,0.2438215474136567,1.3879013317043547
Regresión logística,5,0.2447749196141479,0.2441270248288758,0.24391466185634,0.2441270248288758,0.2421112779055461,1.3872091674781966
Regresión logística,6,0.24862692565304756,0.2482822262606019,0.2495986109923943,0.2482822262606019,0.24641519514694382,1.3878922407226886
Regresión logística,7,0.2417950435365037,0.2413736297625417,0.2415196370000691,0.2413736297625417,0.23948694806819892,1.3877363538511498
Regresión logística,8,0.25077026121902213,0.2517574123271622,0.2518694245421042,0.2517574123271622,0.2485719197048914,1.3869677489653027
Regresión logística,9,0.2470525187566988,0.25172593292617795,0.251393078764813,0.25172593292617795,0.24682892555072483,1.387378366179038
Regresión logística,10,0.24758842443729903,0.25217150888238443,0.25313511395331895,0.25217150888238443,0.24686013264597567,1.3872416550168492
Árbol CART,1,0.22719356999330206,0.246878947831823,0.23921740385658796,0.246878947831823,0.2166133408998095,1.3987643016709839
Árbol CART,2,0.2391158740790355,0.2474338504039767,0.2455806349161796,0.2474338504039767,0.22389808448306867,1.3954859057567375
