permutacion,f1_macro_nulo
1,0.24976775258413478
2,0.24663197227664618
3,0.2535659841865026
4,0.24326726639244434
5,0.24656362851687785
6,0.24879692881204452
7,0.25321206978292454
8,0.24311452062981012
9,0.25462389982759004
10,0.2533435986828725
11,0.2534593511375325
12,0.25200618631988614
13,0.2550399181622186
14,0.24495977489484558
15,0.2516007475393558
16,0.25433068524460956
17,0.2563016967654067
18,0.24773037273559673
19,0.24863842360237318
20,0.24521837231471183
21,0.25388638931066254
22,0.247029371993985
23,0.2556805619953914
24,0.2428758614855377
25,0.2582736280071707
26,0.25297263032879136
27,0.24391189099658223
28,0.24390463486279734
29,0.2508147786512759
30,0.25016313352081165
31,0.25307205834802343
32,0.24989560966437724
33,0.25018249654143393
34,0.2528670445413398
35,0.2536745362810569
36,0.24682943126594015
37,0.24739676719772905
38,0.25266097123388276
39,0.24484895271555626
40,0.2461273341857576
41,0.25339864059633477
42,0.2536203717566067
43,0.24772443267236086
44,0.24555613051612168
45,0.24468539800910907
46,0.2576874588619803
47,0.2459603246052612
48,0.2423411515720531
49,0.25091218089376105
50,0.2531433188456704
51,0.24461029476046459
52,0.24826739935402065
53,0.2517556058509735
54,0.24493657844576333
55,0.24694933064935987
56,0.24974818951001626
57,0.25331189667378445
58,0.25001692180974955
59,0.25306485041829524
60,0.250586189081772
61,0.2575865625090742
62,0.24680580662802531
63,0.2512695239168717
64,0.2512210490967014
65,0.25067785053209823
66,0.24672753704187378
67,0.2478290728005141
68,0.2480344341889889
69,0.243706923487553
70,0.24595087220657955
71,0.24691754549789605
72,0.2496726554950991
73,0.2494691673628939
74,0.2477287723192547
75,0.24763128572212106
76,0.2494570883951987
77,0.25338377225532605
78,0.24809031607320417
79,0.25285216517334896
80,0.24572400846255055
81,0.24769686339098082
82,0.24662065954815543
83,0.2444943540778777
84,0.24985326459519142
85,0.2584805975673998
86,0.2519441257213023
87,0.25059191802242364
88,0.25032251448717213
89,0.24876211092439632
90,0.24405566292002467
91,0.24362165495995938
92,0.2479523325072422
93,0.2527920530812381
94,0.2497654816033123
95,0.2501484513386295
96,0.2450682336347638
97,0.253538197037441
98,0.24918380628090786
99,0.25643535457914457
100,0.2529868761789809
101,0.24890088742722158
102,0.2412495761349729
103,0.25124267962461855
104,0.23591435749937748
105,0.24144532646503142
106,0.24611296821807543
107,0.25144434378648806
108,0.25453235325158646
109,0.251383611982956
110,0.2507433272115018
111,0.25148113307526654
112,0.2526320487441389
113,0.25873318892480196
114,0.24953479202353773
115,0.24997712242845643
116,0.24844090404917546
117,0.25285532835987845
118,0.25083101513793554
119,0.24534683504208385
120,0.2456934615799301
121,0.25697605193539663
122,0.25612180489902886
123,0.2472975800845199
124,0.2463074826709408
125,0.2525726418974753
126,0.24964770305572015
127,0.25225231928675923
128,0.24725812574968356
129,0.2474938785120218
130,0.24993867947170237
131,0.2441980151015974
132,0.2561376388057135
133,0.2500414249185537
134,0.2486438020612436
135,0.24944456438861662
136,0.25509273269448035
137,0.2440441162394901
138,0.2480681640018184
139,0.24602421568501773
140,0.24599751476957016
141,0.2500899273030136
142,0.2501151203974279
143,0.25179228443308654
144,0.24571427176018168
145,0.24400132279465
146,0.25572516932870226
147,0.24758570214464004
148,0.2573916071197816
149,0.24420774789366123
150,0.24150235158210132
151,0.25454213424770705
152,0.24541245912919016
153,0.24879919940511935
154,0.2507527606258312
155,0.24596933891903522
156,0.2463326440986058
157,0.24498102417031967
158,0.24648828165437486
159,0.2500863034363773
160,0.24596531233566374
161,0.24680038684059097
162,0.25370188900452834
163,0.24962362353131395
164,0.2494131388072113
165,0.24491546037303763
166,0.24437926480386563
167,0.25008512055346543
168,0.2456631565646178
169,0.23777826021705034
170,0.24842531274603438
171,0.2540510582812474
172,0.25041547760503796
173,0.24700681895877913
174,0.24688896283453104
175,0.2490499859623281
176,0.2622445385770978
177,0.2420387233488272
178,0.2442562240466964
179,0.25304584481034154
180,0.24539301971128952
181,0.25448621064718013
182,0.24074428181741564
183,0.24307191900701666
184,0.2515999470328701
185,0.2514538998957502
186,0.2447584315750026
187,0.25221419949848434
188,0.2457051326108122
189,0.2528245545864969
190,0.24950928945972092
191,0.25274783053909555
192,0.2560413409081991
193,0.24384209441396446
194,0.24909993983677256
195,0.24812136363163056
196,0.24847756180573155
197,0.2522867120713548
198,0.25331844163174655
199,0.24679749377978893
200,0.24922058282209164
201,0.250983360696077
202,0.24736235466945386
203,0.2524543081126707
204,0.24483949695701512
205,0.25518235682293455
206,0.2517061467802331
207,0.24445534440398375
208,0.25327850194613905
209,0.24957378698804014
210,0.24222709523791575
211,0.24974826553571491
212,0.24859097850590223
213,0.2471852261728604
214,0.2475905284099722
215,0.24664855388132506
216,0.25340232967978
217,0.2382122770796029
218,0.25256287037737957
219,0.2484950089548392
220,0.25409932618223185
221,0.25187530356474197
222,0.24593297705976194
223,0.24911791667250882
224,0.2536828111605888
225,0.246475185388025
226,0.2450381924622374
227,0.24864907365855587
228,0.25077417958802206
229,0.24852939051049486
230,0.24839561025281187
231,0.25450953351571026
232,0.248449554882586
233,0.2537917202246695
234,0.25583696466638184
235,0.2482696889966454
236,0.24943991073308328
237,0.2581644330491857
238,0.2527002482471822
