pc1,pc2,cluster
-0.9934820612322416,0.9902269307512955,0
-1.7608877259702036,-0.5412643928038094,0
1.6662971549641807,-1.6946080287744334,1
-0.41502005315948565,-1.5266910043049335,1
0.3194078762942216,0.7583493044050718,1
-0.6330807275773,0.7307118231888777,0
0.861277954132954,0.5816052981045152,0
0.44771028150277575,-0.6141635265479448,1
1.1415820306486084,0.10957204883058526,1
-0.011459476042853736,1.3266606374523362,0
-0.8391236861147521,0.4194906920056231,0
-0.7736112020072604,-0.7048734339221262,0
0.1155654968088906,-0.8864809320107556,1
1.5917021375553082,0.7417010222381989,1
2.1113863528096948,-0.41797956358050203,1
-0.21086862272761897,-0.21780949694014806,1
0.8314333326941428,-1.958261189803587,1
-0.41413671883809716,-0.6171918971526762,0
0.23351016414770592,0.01866233517466818,0
1.0282492440385091,-1.3733086859263637,1
-0.35633855349911,-0.20739587361633263,1
0.8100119335886808,-0.5954270418350076,1
1.6410972650661562,-0.356538667532285,1
-0.21146530639533578,-0.5063582225433454,1
-0.6826658339464924,0.13119975546464277,0
2.090984394873766,0.30278471526199313,1
-1.4156815502987945,-1.0958296321934167,1
-0.7123737486255219,1.4553413699382425,0
0.517192808808132,1.6204366080018604,0
1.397651943271988,-2.3552937934496785,1
-0.9050239274489651,-0.3141986218978789,1
-1.4622694398366218,-0.48573635218086486,0
0.4109786192938487,-0.13168177621823168,1
1.422908489415769,-1.4282060012945748,1
0.4067721258520862,0.9496473833054326,0
-0.49704967569831665,-1.543390162256578,1
0.1114302261115092,-1.3990977997187002,1
-0.433928939553477,-0.4279968966779933,1
-1.6431010743718606,0.8841178487108532,0
0.7413743839989242,0.3074884670778846,1
-0.3858409546726777,0.5447219114127841,0
-1.0447612029832933,-1.193951314485477,1
0.6872718072953244,0.02632199080976029,1
1.5772240787880774,-0.5970390929136377,1
-0.6626377511853114,-1.5096935393298692,1
-1.2490995366931024,0.6626603767365988,0
0.16377590048853005,0.230453816976963,0
-0.5497995196952232,0.5769635290989487,0
1.2566107751583515,-1.9918242771478156,1
-1.3945216152487918,-0.2719800915607291,0
0.017228627451031545,-1.25604825780452,1
0.8916255962495757,-0.41767540882132537,1
-0.6293262411639874,-0.06995678268941363,0
-1.6176694724706067,-0.09204769259912092,0
1.0244434321282112,1.2188653745798372,1
-1.2902628388460575,1.43959729938792,0
2.1435463990603894,-0.3290461193196948,1
-0.39374996147435926,-0.3199162125646232,0
0.34670509355619755,1.1269699541084048,0
0.8230402970185309,1.6912447734973541,0
1.805006668961687,1.1750743044065146,0
-0.963990345745027,-0.7978767925242608,1
0.2242188866693262,-0.27290781066060504,1
-1.785493232883199,0.4835142698887213,0
-2.1166869821687784,-0.25908700651301564,0
1.164496692729884,-1.7214617544464532,1
-0.6738429544136783,-1.2052762845084755,1
0.8180326347255725,-0.10623126450114169,1
-0.444681553404121,1.3376929185796786,0
0.995592050283663,-0.9902664988655423,1
-0.5747614827480346,0.3576087547953648,0
-0.8769435571570984,-1.168619224277786,1
-0.8508118645898012,1.1951509755953358,0
0.18041073132208682,1.2567997784422797,0
0.8173349253794591,1.5076414584117963,0
-0.050755712705284825,0.8851523377487691,0
-0.726091936568327,0.9607665786050515,0
1.794136882125901,-1.0556635856119594,1
-1.9581309111362104,-0.12574323788131858,0
0.05688505812327773,-0.33330095295070095,1
-0.9256065416634098,-1.1500770735529415,1
-0.11101168580034386,-1.2422391374626014,1
0.6798964938054611,0.24556502414953116,0
0.0905657425357732,1.2416531377412123,0
0.09181498280670623,0.27425253850214837,0
0.09332357227056334,1.6656403887464888,0
0.07214641514770773,-0.17320015939383068,0
0.5031204912320488,1.55161404888806,0
1.5162436602067926,0.7633252615155245,1
-0.1095877949850044,1.5149425099309526,0
1.0906669017847161,1.3629616269959735,0
1.131153320356654,-1.3192645156988638,1
-1.0998618748178028,-1.153988754173723,1
0.2846206309192732,0.06408926496973993,1
-1.5248905831459907,1.1610781426783863,0
-0.7729677691174605,0.8865667991287112,0
0.44288864430318814,-1.3727647284177336,1
0.6027747778686287,-0.5587006404947202,1
0.7952698248056977,-0.4449857640582231,1
-1.2962634784910343,0.6958604457451403,0
1.136480517079383,0.838877403051502,1
-0.3806891789658713,-0.7652304941280532,0
-2.076077085611684,-0.39692739337803795,0
-0.5413120117648541,-0.6310275528112645,0
-0.028220479065602093,-1.5121614851226493,1
-2.0225499870981345,-0.6553331660363816,0
-0.7690154923943381,-0.8384731390988238,0
